Store_ID,Region,State,City,Postal_Code,Store_Address,Selling_Area_Size_Sqft,Store_Type,Operating_Start,Operating_End,Store_Open_Date,Parking_Availability,Security_Features,Staff_Count,Manager_ID,Manager_Name
STORE001,North,Delhi,New Delhi,110015,"Store No. 490, Ground Floor, Pearl Tower, Opp. Bus Stand, New Delhi, Delhi – 110015",1300,Rented,10:00:00,19:00:00,18-09-2020,Available,Alarm,8,MGR0030,Aditya Ghosh
STORE002,North,Delhi,New Delhi,110036,"Retail Unit 341, Krishna Heights, Opp. Behind Police Station, New Delhi, Delhi – 110036",950,Rented,10:00:00,21:00:00,26-01-2023,Available,None,10,MGR0032,Sanya Aditya Trivedi
STORE003,North,Delhi,New Delhi,110095,"Shop 308, Building 66, Lake View Road, Behind Police Station, New Delhi, Delhi – 110095",1400,Rented,10:00:00,21:00:00,05-09-2022,Not Available,CCTV,14,MGR0038,Sai Isha Mehta
STORE004,North,Delhi,New Delhi,110051,"Shop 185, Building 71, Ring Road, Near IT Park, New Delhi, Delhi – 110051",1200,Owned,11:00:00,20:00:00,16-11-2022,Available,CCTV,20,MGR0040,Lokesh Malhotra
STORE005,North,Delhi,New Delhi,110025,"Green Park Market, Unit 280, 2nd Floor, Ring Road, New Delhi, Delhi – 110025",1100,Owned,10:00:00,19:00:00,15-02-2023,Available,None,13,MGR0044,Nikhil Kapil Kumar
STORE006,North,Delhi,New Delhi,110042,"Store No. 121, 3rd Floor, Prime Square, Near IT Park, New Delhi, Delhi – 110042",1300,Rented,09:00:00,20:00:00,01-03-2020,Not Available,Alarm,10,MGR0063,Madhuri R. Sen
STORE007,North,Delhi,New Delhi,110049,"Shop No. 132, Sunrise Plaza, Near Near Main Market, New Delhi, Delhi – 110049",1400,Rented,11:00:00,20:00:00,23-07-2020,Not Available,Alarm,20,MGR0071,Priya Bhardwaj
STORE008,North,Delhi,New Delhi,110073,"Shop 7, Building 144, MG Road, Opp. Airport Road, New Delhi, Delhi – 110073",1000,Owned,10:00:00,21:00:00,01-02-2023,Not Available,Alarm,9,MGR0134,Rohan Sharma
STORE009,North,Delhi,New Delhi,110079,"Shop No. 172, Green Park Market, Near Near Railway Station, New Delhi, Delhi – 110079",1300,Owned,10:00:00,19:00:00,17-08-2021,Not Available,Alarm,17,MGR0165,Gaurav Prasad
STORE010,North,Delhi,New Delhi,110004,"Store No. 419, Ground Floor, Sunrise Plaza, Opp. Airport Road, New Delhi, Delhi – 110004",1100,Rented,10:00:00,21:00:00,25-01-2022,Available,Alarm,3,MGR0177,Aniket P. Nair
STORE011,North,Delhi,New Delhi,110097,"Shop No. 340, Royal Trade Center, Near Opp. Central Hospital, New Delhi, Delhi – 110097",1300,Rented,11:00:00,20:00:00,03-02-2019,Available,None,3,MGR0181,Sai Kohli
